OBJECTID,EVENT_UNIQUE_ID,REPORT_DATE,OCC_DATE,REPORT_YEAR,REPORT_MONTH,REPORT_DAY,REPORT_DOY,REPORT_DOW,REPORT_HOUR,OCC_YEAR,OCC_MONTH,OCC_DAY,OCC_DOY,OCC_DOW,OCC_HOUR,DIVISION,LOCATION_TYPE,PREMISES_TYPE,UCR_CODE,UCR_EXT,OFFENCE,CSI_CATEGORY,HOOD_158,NEIGHBOURHOOD_158,HOOD_140,NEIGHBOURHOOD_140,LONG_WGS84,LAT_WGS84,x,y
95483,GO-20162055407,11/19/2016 5:00:00 AM,11/19/2016 5:00:00 AM,2016,November,19,324,Saturday  ,10,2016.0,November,19.0,324.0,Saturday  ,9,D23,"Single Home, House (Attach Garage, Cottage, Mobile)",House,2120,200,B&E,Break and Enter,007,Willowridge-Martingrove-Richview (7),007,Willowridge-Martingrove-Richview (7),-79.5596031767603,43.6887797862426,-8856534.51337855,5417405.77884289
244658,GO-20202250586,11/28/2020 5:00:00 AM,11/28/2020 5:00:00 AM,2020,November,28,333,Saturday  ,8,2020.0,November,28.0,333.0,Saturday  ,8,D13,Bar / Restaurant,Commercial,2120,200,B&E,Break and Enter,092,Corso Italia-Davenport (92),092,Corso Italia-Davenport (92),-79.4505840169951,43.6763545182904,-8844398.55600064,5415493.143484
70172,GO-2016321771,2/23/2016 5:00:00 AM,2/23/2016 5:00:00 AM,2016,February,23,54,Tuesday   ,14,2016.0,February,23.0,54.0,Tuesday   ,10,D55,Schools During Supervised Activity,Educational,1430,100,Assault,Assault,070,South Riverdale (70),070,South Riverdale (70),-79.3505315713734,43.6605293016865,-8833260.7686593,5413057.72366951
288012,GO-2022378043,2/27/2022 5:00:00 AM,2/27/2022 5:00:00 AM,2022,February,27,58,Sunday    ,14,2022.0,February,27.0,58.0,Sunday    ,14,D53,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,1430,100,Assault,Assault,056,Leaside-Bennington (56),056,Leaside-Bennington (56),-79.3688807840777,43.6842090594606,-8835303.39370691,5416702.15568002
328271,GO-2023250418,2/1/2023 5:00:00 AM,1/30/2023 5:00:00 AM,2023,February,1,32,Wednesday ,17,2023.0,January,30.0,30.0,Monday    ,13,D31,"Open Areas (Lakes, Parks, Rivers)",Outside,1430,100,Assault,Assault,027,York University Heights (27),027,York University Heights (27),-79.4947999245511,43.7566568725655,-8849320.64836415,5427861.17618164
278334,GO-20212228392,11/19/2021 5:00:00 AM,11/19/2021 5:00:00 AM,2021,November,19,323,Friday    ,7,2021.0,November,19.0,323.0,Friday    ,3,D53,"Single Home, House (Attach Garage, Cottage, Mobile)",House,2135,210,Theft Of Motor Vehicle,Auto Theft,099,Mount Pleasant East (99),099,Mount Pleasant East (99),-79.3825259736552,43.7055350388314,-8836822.36930949,5419985.56111657
432249,GO-2025714595,4/6/2025 4:00:00 AM,4/6/2025 4:00:00 AM,2025,April,6,96,Sunday    ,20,2025.0,April,6.0,96.0,Sunday    ,14,D41,"Apartment (Rooming House, Condo)",Apartment,1430,100,Assault,Assault,121,Oakridge (121),121,Oakridge (121),-79.2853960670724,43.6970102181584,-8826009.91752145,5418672.91657361
255144,GO-2021601926,4/2/2021 4:00:00 AM,4/2/2021 4:00:00 AM,2021,April,2,92,Friday    ,4,2021.0,April,2.0,92.0,Friday    ,4,D55,Bar / Restaurant,Commercial,1430,100,Assault,Assault,057,Broadview North (57),057,Broadview North (57),-79.3488165151935,43.6894121992519,-8833069.84949869,5417503.13747648
296997,GO-2022929391,5/18/2022 4:00:00 AM,5/18/2022 4:00:00 AM,2022,May,18,138,Wednesday ,7,2022.0,May,18.0,138.0,Wednesday ,0,D32,"Single Home, House (Attach Garage, Cottage, Mobile)",House,2135,210,Theft Of Motor Vehicle,Auto Theft,152,East Willowdale (152),051,Willowdale East (51),-79.3972255789845,43.7784203971275,-8838458.72185295,5431216.01506296
265075,GO-20211338877,7/16/2021 4:00:00 AM,7/16/2021 4:00:00 AM,2021,July,16,197,Friday    ,20,2021.0,July,16.0,197.0,Friday    ,20,D32,"Open Areas (Lakes, Parks, Rivers)",Outside,1430,100,Assault,Assault,151,Yonge-Doris (151),051,Willowdale East (51),-79.4124392781433,43.7674757874038,-8840152.30307871,5429528.75505206
